endTime,artistName,trackName,msPlayed
2021-05-02 19:09,88GLAM,Talk Nice,39970
2021-05-03 23:27,Young Stoner Life,Solid (feat. Drake),4821
2021-05-05 01:54,Diplo,Wish,8853
2021-05-05 01:54,Diplo,Wish - Trippie Mix,6655
2021-05-05 01:56,POORSTACY,Darkness,14762
2021-05-05 16:45,Diplo,Wish,165418
2021-05-05 17:38,Diplo,Wish,11960
2021-05-05 17:38,DJ Khaled,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),1980
2021-05-05 17:38,Young Stoner Life,Solid (feat. Drake),3230
2021-05-05 17:38,Young Stoner Life,Ski,1000
2021-05-05 17:39,D. Savage,Lock'd In,330
2021-05-05 17:39,Kota the Friend,Outside,82210
2021-05-05 17:40,NoCap,38 Sides (feat. YoungBoy Never Broke Again),300
2021-05-05 17:40,The Weeknd,Save Your Tears (with Ariana Grande) (Remix),41360
2021-05-05 17:40,Young Stoner Life,Diamonds Dancing (feat. Travis Scott),680
2021-05-05 17:41,iann dior,don't wanna believe,69670
2021-05-05 17:43,Internet Money,JETSKI (feat. Lil Mosey & Lil Tecca),1550
2021-05-05 17:43,Bazzi,Beautiful (feat. Camila Cabello),4950
2021-05-05 17:43,iann dior,shots in the dark (with Trippie Redd),94270
2021-05-05 17:43,Jermaine Elliott,Monster,2110
2021-05-05 17:44,Q Da Fool,Guns n Bells,80
2021-05-05 17:44,Lil Tecca,Show Me Up,3540
2021-05-05 17:44,Polo G,RAPSTAR,870
2021-05-05 17:44,Shad Da God,Murder Me (feat. Gunna),1280
2021-05-05 17:44,Unknown Artist,Unknown Track,870
2021-05-05 17:44,Q Da Fool,Mrs.Betty,3160
2021-05-05 17:44,Q Da Fool,Mrs.Betty,0
2021-05-05 17:44,Ty Dolla $ign,"By Yourself (feat. Bryson Tiller, Jhené Aiko & Mustard) - Remix",20150
2021-05-05 17:44,$NOT,Whipski (feat. Lil Skies & Internet Money),31540
2021-05-05 17:45,Q Da Fool,Guns n Bells,25440
2021-05-05 17:45,Big Scarr,"SoIcyBoyz 3 (feat. Gucci Mane, Pooh Shiesty, Foogiano & Tay Keith)",0
2021-05-05 17:45,Rod Wave,Richer (feat. Polo G),2750
2021-05-05 17:45,DDG,Hood Melody (feat. Youngboy Never Broke Again),320
2021-05-05 17:45,Only The Family,Hellcats & Trackhawks,1540
2021-05-05 17:45,SSGKobe,Calabasas,43980
2021-05-05 17:46,David Guetta,Memories (feat. Kid Cudi),2870
2021-05-05 17:46,Coi Leray,BIG PURR (Prrdd) (feat. Pooh Shiesty),0
2021-05-05 17:46,The Weeknd,Wanderlust,9490
2021-05-05 17:46,Mac Miller,The Spins,7550
2021-05-05 17:46,Lil Tjay,Headshot (feat. Polo G & Fivio Foreign),1700
2021-05-05 17:47,Kota the Friend,Day Glow,43750
2021-05-05 17:47,Kid Cudi,Day 'N' Nite (nightmare),740
2021-05-05 17:47,Kid Cudi,Day 'N' Nite (nightmare),1460
2021-05-05 17:47,Kota the Friend,Go Now,13400
2021-05-05 17:47,Kota the Friend,Go Now,5470
2021-05-05 17:48,XanMan,Point,2980
2021-05-05 17:48,XanMan,Gucci Down,3970
2021-05-05 17:48,XanMan,Gucci Down,820
2021-05-05 17:48,The Kid LAROI,ALWAYS DO,66130
2021-05-05 17:48,$NOT,Whipski (feat. Lil Skies & Internet Money),8980
2021-05-05 17:49,No Savage,Dirty 38,760
2021-05-05 17:49,Kota the Friend,Long Beach,30650
2021-05-05 17:49,No Savage,Reaper,530
2021-05-05 17:49,Dro Kenji,KILL CUPID,22440
2021-05-05 17:50,Pink Sweat$,So Sweet,13760
2021-05-05 17:51,Diplo,Wish,1460
2021-05-05 17:51,Remi Wolf,Photo ID (with Dominic Fike),63640
2021-05-05 17:51,Remi Wolf,Photo ID (with Dominic Fike),13610
2021-05-05 17:51,The Kid LAROI,ALWAYS DO,11320
2021-05-05 17:51,Dominic Fike,3 Nights,1110
2021-05-05 17:51,Dominic Fike,3 Nights,13560
2021-05-05 17:51,Dominic Fike,3 Nights,6390
2021-05-05 17:51,$NOT,Whipski (feat. Lil Skies & Internet Money),1000
2021-05-05 17:52,Lil Uzi Vert,Yessirskiii,710
2021-05-05 17:52,Young Stoner Life,That Go! (feat. T-Shyne),0
2021-05-05 17:52,Young Stoner Life,That Go! (feat. T-Shyne),1010
2021-05-05 17:52,Drake,Wants and Needs (feat. Lil Baby),0
2021-05-05 17:52,Lil Baby,Real As It Gets (feat. EST Gee),1680
2021-05-05 17:52,Snoh Aalegra,I Want You Around (feat. 6LACK) - Remix,6990
2021-05-05 17:52,Shwayze,Love Is Overrated,6080
2021-05-05 17:52,Ty Dolla $ign,"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix",640
2021-05-05 17:52,Tory Lanez,Stupid Again,80
2021-05-05 17:52,Drake,Jungle,460
2021-05-05 17:52,Drake,Jungle,2910
2021-05-05 17:52,SpotemGottem,Beat Box 3 (feat. DaBaby),1430
2021-05-05 17:52,Young Nudy,EA (feat. 21 Savage),1040
2021-05-05 17:52,Kota the Friend,Pomegranate,4170
2021-05-05 17:52,Kanye West,All Falls Down,8850
2021-05-05 17:52,Lil Uzi Vert,Bean (Kobe) [feat. Chief Keef],1800
2021-05-05 17:52,Drake,What’s Next,680
2021-05-05 17:53,03 Greedo,Trap House (feat. Shoreline Mafia),2440
2021-05-05 17:53,Clean Bandit,Higher (feat. iann dior),5120
2021-05-05 17:53,Freddie Gibbs,Gang Signs (feat. ScHoolboy Q),1050
2021-05-05 17:53,Pooh Shiesty,Back In Blood (feat. Lil Durk),0
2021-05-05 17:53,Moneybagg Yo,Me Vs Me,110
2021-05-05 17:53,Suckafreejuice,Dis&Dat,1380
2021-05-05 17:53,King Von,Took Her To The O,0
2021-05-05 17:53,slowthai,terms (feat. Dominic Fike & Denzel Curry),11480
2021-05-05 17:53,Pooh Shiesty,Shiesty Season Intro,0
2021-05-05 17:53,03 Greedo,Substance,770
2021-05-05 17:53,Rod Wave,Rags2Riches 2 (feat. Lil Baby),980
2021-05-05 17:53,Never Broke Again,4 Eyes,0
2021-05-05 17:53,Lil Tjay,Calling My Phone,640
2021-05-05 17:53,Pooh Shiesty,Neighbors (feat. BIG30),1110
