tracks/artist,tracks/album,tracks/track,tracks/uri,albums/artist,albums/album,albums/uri,artists/name,artists/uri,other
Travis Scott,Rodeo (Expanded Edition),Apple Pie,spotify:track:6scpNkWEmUxmKY7nYjVLsX,J. Cole,KOD,spotify:album:4Wv5UAieM1LDEYVq5WmqDd,88GLAM,spotify:artist:2I9SLklAOG0vdMiUUMNxRl,spotify:local:::A+man:192
Big Sean,I Decided.,Bigger Than Me,spotify:track:6zpXc7WJ3TqYWb02B6sKyF,DJ Khaled,I'm the One,spotify:album:7mRliFLzSnVPzjO0sSy3ar,A Boogie Wit da Hoodie,spotify:artist:31W5EY0aAly4Qieq6OFu6I,spotify:local:::Shells+X+Hollaback+Girl+%2B+Silly+Watch:277
Kanye West,My Beautiful Dark Twisted Fantasy,Monster,spotify:track:1ZHYJ2Wwgxes4m8Ba88PeK,Tiny Meat Gang,Bangers & Ass,spotify:album:0jsQT4x7VfwZAWeDjQ7eRX,Drake,spotify:artist:3TVXtAsR1Inumwj472S9r4,spotify:local:::Shells+X+Hollaback+Girl:78
Lil Tjay,Laneswitch,Laneswitch,spotify:track:56Sng0NtW0YYy4Edtpybm8,Post Malone,beerbongs & bentleys,spotify:album:6trNtQUgC8cgbWcqoMYkOR,Gunna,spotify:artist:2hlmm7s2ICUX0LVIhVFlZQ,spotify:local:::A+Man+-Travis:181
G-Eazy,Still Be Friends (feat. Tory Lanez & Tyga),Still Be Friends (feat. Tory Lanez & Tyga),spotify:track:0JjM9bKm4wrwohMslcm892,Remi Wolf,Photo ID (with Dominic Fike),spotify:album:3zFq7EuaSEF96fFaMCUE8w,J. Cole,spotify:artist:6l3HvQ5sa6mXTsMTB19rO5,spotify:local:::Houdini+-+Travis+%26+Carti:125
Jay Critch,Hood Favorite,Quicker (feat. Offset),spotify:track:2suNLhuM7H4QWpWAekOnG3,The Weeknd,After Hours,spotify:album:4yP0hdKOZPNshxUOjY0cZj,Juice WRLD,spotify:artist:4MCBfE4596Uoi2O4DtmEMz,spotify:local:::Molly+-+Carti:159
DaBaby,KIRK,BOP,spotify:track:6Ozh9Ok6h4Oi1wUSLtBseN,Young Thug,JEFFERY,spotify:album:7EpUpNUkkEGnaCvkcn1j4H,Lil Skies,spotify:artist:7d3WFRME3vBY2cgoP38RDo,spotify:local:::Tattoo+-+Carti:269
Dreamville,1-888-88-DREAM,"Down Bad (feat. JID, Bas, J. Cole, EARTHGANG & Young Nudy)",spotify:track:4eqrNsKy9Mvg1fvfsTVIAE,Metro Boomin,NOT ALL HEROES WEAR CAPES,spotify:album:1zNr37qd3iZJ899byrTkcj,Lil Tecca,spotify:artist:4Ga1P7PMIsmqEZqhYZQgDo,
Rae Sremmurd,SremmLife 2,Black Beatles,spotify:track:6fujklziTHa8uoM5OQSfIo,Kendrick Lamar,DAMN.,spotify:album:4eLPsYPBmXABThSJ821sqY,Lil Uzi Vert,spotify:artist:4O15NlyKLIASxsJ0PrXPfz,
Dro Kenji,EAT YOUR HEART OUT,KILL CUPID,spotify:track:5p29DSBwxS4hStGKr7NCCO,NAV,Know Me,spotify:album:0ooNnSXqH1oTsHo34RO75q,NAV,spotify:artist:7rkW85dBwwrJtlHRDkJDAC,
